case_id,run_id,is_latest_run,traceback_count,parquet_count,pickle_count,raw_csv_count,manifest_exists,metadata_exists,complete_35_parquet,complete_35_pickle,run_dir
epcase_049c0e3c687c32a0390a4001,epvwr_8825a975b3f7,True,1,0,0,0,False,False,False,False,F:\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\campaigns\p1_ashrae2013_one_zone_compact_4b4c_labpc_full_v2\generation\cases\epcase_049c0e3c687c32a0390a4001\runs\epvwr_8825a975b3f7
epcase_069fd7684ae41a05766857a3,epvwr_ebf65268d46b,True,1,0,0,0,False,False,False,False,F:\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\campaigns\p1_ashrae2013_one_zone_compact_4b4c_labpc_full_v2\generation\cases\epcase_069fd7684ae41a05766857a3\runs\epvwr_ebf65268d46b
epcase_0ddc6ff14c1b67d93131c955,epvwr_265b817d8f21,True,1,0,0,0,False,False,False,False,F:\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\campaigns\p1_ashrae2013_one_zone_compact_4b4c_labpc_full_v2\generation\cases\epcase_0ddc6ff14c1b67d93131c955\runs\epvwr_265b817d8f21
epcase_0f180c4cfc779824a0db8598,epvwr_fb3c8648c0ff,True,1,0,0,0,False,False,False,False,F:\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\campaigns\p1_ashrae2013_one_zone_compact_4b4c_labpc_full_v2\generation\cases\epcase_0f180c4cfc779824a0db8598\runs\epvwr_fb3c8648c0ff
epcase_3b57a356d280de898ad85e05,epvwr_f1fccbc1d5e5,True,1,0,0,0,False,False,False,False,F:\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\campaigns\p1_ashrae2013_one_zone_compact_4b4c_labpc_full_v2\generation\cases\epcase_3b57a356d280de898ad85e05\runs\epvwr_f1fccbc1d5e5
epcase_3d59b898176ce320988f6c5e,epvwr_bd23147a0314,True,1,5,5,1,False,False,False,False,F:\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\campaigns\p1_ashrae2013_one_zone_compact_4b4c_labpc_full_v2\generation\cases\epcase_3d59b898176ce320988f6c5e\runs\epvwr_bd23147a0314
epcase_3d9f84a8b90dee1a09e9c71b,epvwr_4e2f2c6111c4,True,1,0,0,0,False,False,False,False,F:\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\campaigns\p1_ashrae2013_one_zone_compact_4b4c_labpc_full_v2\generation\cases\epcase_3d9f84a8b90dee1a09e9c71b\runs\epvwr_4e2f2c6111c4
epcase_4abb05aa9c546958efafe7c4,epvwr_2f2f2acd3a07,True,1,2,2,0,False,False,False,False,F:\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\campaigns\p1_ashrae2013_one_zone_compact_4b4c_labpc_full_v2\generation\cases\epcase_4abb05aa9c546958efafe7c4\runs\epvwr_2f2f2acd3a07
epcase_533973e29a474b82cf6a28fd,epvwr_3e828192556b,True,1,0,0,0,False,False,False,False,F:\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\campaigns\p1_ashrae2013_one_zone_compact_4b4c_labpc_full_v2\generation\cases\epcase_533973e29a474b82cf6a28fd\runs\epvwr_3e828192556b
epcase_827ca4812c0199221d031e59,epvwr_3ddcae910858,True,1,29,29,0,False,False,False,False,F:\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\campaigns\p1_ashrae2013_one_zone_compact_4b4c_labpc_full_v2\generation\cases\epcase_827ca4812c0199221d031e59\runs\epvwr_3ddcae910858
