machine_id,hostname,tracking_uri,experiment_name,experiment_id,run_id,run_name,status,lifecycle_stage,start_time_ms,end_time_ms,start_time_utc,end_time_utc,artifact_uri,param.campaign_aggregation_run_id,param.campaign_id,param.case_count,param.case_epcase_827ca4812c0199221d031e59.status,param.case_epcase_827ca4812c0199221d031e59.weight_mode,param.continue_on_error,param.rule_set,param.strategy,param.weight_mode,param.write_legacy_pickle,metric.case_count,metric.case_epcase_827ca4812c0199221d031e59.aggregate_zone_count,metric.case_epcase_827ca4812c0199221d031e59.aggregated_long_rows,metric.case_epcase_827ca4812c0199221d031e59.diagnostic_rows,metric.case_epcase_827ca4812c0199221d031e59.equipment_contribution_rows,metric.case_epcase_827ca4812c0199221d031e59.loaded_variable_count,metric.case_epcase_827ca4812c0199221d031e59.runtime_seconds,metric.case_epcase_827ca4812c0199221d031e59.static_equipment_rows,metric.failed_case_count,metric.successful_case_count,tag.mlflow.runName,tag.mlflow.source.git.commit,tag.mlflow.source.name,tag.mlflow.source.type,tag.mlflow.user
laptop,NKG-Win-Laptop,http://127.0.0.1:5000,ScaleBridge_P1_Aggregation_Test,3,9e6824dc4bb6432f81555678e1e4de48,aggregation_campaign_p1_ashrae2013_one_zone_compact_4b4c_labpc_test_1B_RDD_1W_v3_20260708_142157,FINISHED,active,1783545718549,1783545781850,2026-07-08T21:21:58.549000+00:00,2026-07-08T21:23:01.850000+00:00,c:\Users\ninad\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\mlflow_artifacts/3/9e6824dc4bb6432f81555678e1e4de48/artifacts,aggregation_campaign_20260708_142301,p1_ashrae2013_one_zone_compact_4b4c_labpc_test_1B_RDD_1W_v3,1,completed,equal,True,legacy_v1,all_thermal_zones_to_one,equal,True,1.0,1.0,3363840.0,5.0,9.0,29.0,59.567628099932335,4.0,0.0,1.0,aggregation_campaign_p1_ashrae2013_one_zone_compact_4b4c_labpc_test_1B_RDD_1W_v3_20260708_142157,9e46499e3f43a2cc1bf9aa1c3f4b876d3e16e9a3,scripts\aggregation\run_p1_aggregation.py,LOCAL,ninad
laptop,NKG-Win-Laptop,http://127.0.0.1:5000,ScaleBridge_P1_Aggregation_Test,3,17c929c558214158a90aea160c208de5,aggregation_campaign_p1_ashrae2013_one_zone_compact_4b4c_labpc_test_1B_RDD_1W_v3_20260708_132334,FINISHED,active,1783542215001,1783542271462,2026-07-08T20:23:35.001000+00:00,2026-07-08T20:24:31.462000+00:00,c:\Users\ninad\Dropbox\NinadGaikwad_PhD\Gaikwad_Research\From_WSU_OneDrive\BuildingModelingProject_Condensed\Data\ScaleBridge\mlflow_artifacts/3/17c929c558214158a90aea160c208de5/artifacts,,p1_ashrae2013_one_zone_compact_4b4c_labpc_test_1B_RDD_1W_v3,1,completed,,True,legacy_v1,all_thermal_zones_to_one,equal,True,1.0,1.0,3363840.0,5.0,9.0,29.0,53.37806850008201,4.0,0.0,1.0,aggregation_campaign_p1_ashrae2013_one_zone_compact_4b4c_labpc_test_1B_RDD_1W_v3_20260708_132334,9e46499e3f43a2cc1bf9aa1c3f4b876d3e16e9a3,scripts\aggregation\run_p1_aggregation.py,LOCAL,ninad
